"boot","ARLU","ASHU","BOCU","CAHU","CARO","CEFE","CHAL","COAN","COCA","CRGR","ELEL","EPBR","ERAL","ERDI","ERNE","ERRA","ERspp","FEAR","GECA","HEMU","HEOB","HOWR","HYDI","LACO","LASC","LASE","LIDA","LIMU","LOWR","LUAR","MACA","MUMO","MUVI","MUWR","OEEL","OXLA","PAMU","PEVI","PHAN","PIPR","PSMA","PSTE","QUGA","SATR","SCSC","TRRA","UNK1","VETH","VIPU"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.2,0,0,6,0,0,11,0,0,0,5,0
1,0,0,0,0.2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,11,2,0,0,0,6,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,13,0,0,3,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
1,0.2,0,0,0,4,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,33,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,13,0,0,3,0,0,0,0,0,0
1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0
1,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4,11,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0
1,0.2,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0
1,0,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0,0,0,0,0,0,22,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,2,0,2,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,11,2,0,0,0,6,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0.2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.2,0,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,50,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
